Timestamp,Occupancy
2026-02-01 06:00:00,6
2026-02-01 06:30:00,8
2026-02-01 07:00:00,12
2026-02-01 07:30:00,15
2026-02-01 08:00:00,19
2026-02-01 08:30:00,22
2026-02-01 09:00:00,20
2026-02-01 09:30:00,18
2026-02-01 10:00:00,16
2026-02-01 10:30:00,15
2026-02-01 11:00:00,18
2026-02-01 11:30:00,22
2026-02-01 12:00:00,25
2026-02-01 12:30:00,28
2026-02-01 13:00:00,30
2026-02-01 13:30:00,28
2026-02-01 14:00:00,26
2026-02-01 14:30:00,24
2026-02-01 15:00:00,27
2026-02-01 15:30:00,31
2026-02-01 16:00:00,36
2026-02-01 16:30:00,40
2026-02-01 17:00:00,45
2026-02-01 17:30:00,49
2026-02-01 18:00:00,54
2026-02-01 18:30:00,57
2026-02-01 19:00:00,53
2026-02-01 19:30:00,47
2026-02-01 20:00:00,41
2026-02-01 20:30:00,35
2026-02-01 21:00:00,29
2026-02-01 21:30:00,23
2026-02-01 22:00:00,17
2026-02-01 22:30:00,12
2026-02-01 23:00:00,8

2026-02-02 06:00:00,5
2026-02-02 06:30:00,7
2026-02-02 07:00:00,11
2026-02-02 07:30:00,14
2026-02-02 08:00:00,18
2026-02-02 08:30:00,21
2026-02-02 09:00:00,19
2026-02-02 09:30:00,17
2026-02-02 10:00:00,15
2026-02-02 10:30:00,14
2026-02-02 11:00:00,17
2026-02-02 11:30:00,21
2026-02-02 12:00:00,24
2026-02-02 12:30:00,27
2026-02-02 13:00:00,29
2026-02-02 13:30:00,27
2026-02-02 14:00:00,25
2026-02-02 14:30:00,23
2026-02-02 15:00:00,26
2026-02-02 15:30:00,30
2026-02-02 16:00:00,35
2026-02-02 16:30:00,39
2026-02-02 17:00:00,44
2026-02-02 17:30:00,48
2026-02-02 18:00:00,52
2026-02-02 18:30:00,55
2026-02-02 19:00:00,51
2026-02-02 19:30:00,46
2026-02-02 20:00:00,40
2026-02-02 20:30:00,34
2026-02-02 21:00:00,28
2026-02-02 21:30:00,22
2026-02-02 22:00:00,16
2026-02-02 22:30:00,11
2026-02-02 23:00:00,7

2026-02-03 06:00:00,7
2026-02-03 06:30:00,9
2026-02-03 07:00:00,13
2026-02-03 07:30:00,16
2026-02-03 08:00:00,20
2026-02-03 08:30:00,23
2026-02-03 09:00:00,21
2026-02-03 09:30:00,19
2026-02-03 10:00:00,17
2026-02-03 10:30:00,16
2026-02-03 11:00:00,19
2026-02-03 11:30:00,23
2026-02-03 12:00:00,26
2026-02-03 12:30:00,29
2026-02-03 13:00:00,31
2026-02-03 13:30:00,29
2026-02-03 14:00:00,27
2026-02-03 14:30:00,25
2026-02-03 15:00:00,28
2026-02-03 15:30:00,32
2026-02-03 16:00:00,37
2026-02-03 16:30:00,41
2026-02-03 17:00:00,46
2026-02-03 17:30:00,50
2026-02-03 18:00:00,55
2026-02-03 18:30:00,58
2026-02-03 19:00:00,54
2026-02-03 19:30:00,48
2026-02-03 20:00:00,42
2026-02-03 20:30:00,36
2026-02-03 21:00:00,30
2026-02-03 21:30:00,24
2026-02-03 22:00:00,18
2026-02-03 22:30:00,13
2026-02-03 23:00:00,9
